611
id mass x y z v_x v_y v_z
114 0.49 14339.2284615974 48051.6407952081 50145.52478522478 -0.013172496071782785 0.19105046907257556 0.1915040375177826
115 0.44 36134.328264531236 69549.98065704782 78376.58763000995 0.12610499603890224 0.12233813223286281 0.1756960119757901
116 0.19 -36220.907276173726 64553.410804430205 74020.92251785775 -0.06079954214003624 -0.18434355862421428 0.19411113293852358
117 2.86 -50438.14012517473 -49699.436260791204 70809.8859194619 0.06045166360028902 -0.029954408225783852 0.06746606705744315
118 0.54 -71788.27019098857 12331.314701450454 72839.66679825346 -0.11334540528201911 -0.15571403027725636 0.19259813115326815
119 0.42 -68508.46349960021 -33257.228602474184 76154.1385966205 -0.09320159961709623 0.13420381588845767 0.16339278555128608
120 0.53 -4392.128782280858 78051.54974209683 78175.02934046878 0.003999320133483465 -0.19312232601010318 0.19316373201272194
121 0.19 -71971.89941755154 -375.61091210166666 71972.87954033412 0.11576657070184644 -0.1568552587996572 0.19494991947978088
122 0.48 48064.34970772998 44506.85154988127 65506.04207025587 -0.0927421172609383 -0.15805844104326694 0.18325820881769395
123 0.15 63959.02387663932 -44994.490567604844 78200.13373831788 0.12030291310248663 0.1461112970439304 0.18926516326256165
124 0.48 52026.504098524834 -39944.13529593084 65591.85218648311 0.11288462332938236 -0.15892671932435354 0.19493752922261628
125 0.09 -12664.045349735725 -52065.5364508029 53583.56212991115 0.17933347654031032 0.06347779810955473 0.19023650191504105
126 0.76 -29059.32186619278 -34215.29188131731 44890.20367348235 -0.0729955782081591 -0.004674001083126765 0.07314506630025393
127 0.54 71335.37357507423 30800.87469919015 77700.8970690211 -0.19081804168160818 0.021719318189100948 0.19205013359485945
128 0.12 -5194.537825359752 45787.59866294917 46081.31307307114 0.07757316008842349 0.013450799382633633 0.07873067489953352
129 0.72 15307.237276962045 -65715.64676245637 67474.86748754056 -0.1481372672353176 0.08870079447392709 0.17266291114264742
130 0.19 -60198.33705659711 -35282.31942301712 69775.94032506825 0.1829535096329796 0.058619750380940104 0.19211523058245147
131 0.09 61272.49090442359 -47692.62755824931 77646.02285399138 0.1813910808208857 -0.07070989188962598 0.19468593429524303
132 0.36 -47795.01351159351 34214.972414924356 58779.48327373626 0.044504965367039864 -0.15453753019620797 0.16081834528891692
133 1.43 69145.33252315526 27725.07465114542 74496.68968584645 0.06585135921885106 -0.1793267958004727 0.19103534019399288
134 1.32 -59847.01918543788 38227.722023653354 71014.25516401535 0.010582332969227552 -0.16689996989217865 0.16723512107533434
135 0.08 -1160.2072428940385 76102.90709442507 76111.7504007703 0.14654891486287858 0.07013505316457676 0.16246695088504998
136 0.25 -15545.730481860095 75824.17756336083 77401.39300668113 0.05653626669186545 -0.027192137295931288 0.06273565000997848
137 0.13 -28130.3832190533 -73083.34881980708 78310.24412405054 -0.07165480086067509 -0.18079283816350847 0.19447483337851088
138 0.95 -30381.254808076235 69331.67594242445 75696.11570416683 0.19397575859999225 -0.017372936076274697 0.19475218569339034
139 0.33 -35585.51507414412 -938.0605609018442 35597.876912929205 0.09970816045329367 -0.06760151048036368 0.12046444072923128
140 0.1 -68769.11282112749 -20716.062303894607 71821.62707418848 -0.0015921607473126198 0.17897389896610652 0.17898098079677455
141 0.06 52930.281145339264 39829.25807399694 66241.86335580927 -0.14752178704786884 -0.10107369732726457 0.17882552934410748
142 0.57 4344.099565077369 -34945.14785651643 35214.124435304366 0.18302256148873866 -0.06632848926573909 0.1946708157433322
143 0.3 -792.3695918850445 -9953.055480012225 9984.546206931262 0.1509399482795775 0.02686790420124133 0.15331259655621454
144 2.48 -32301.69395700673 71426.87600305106 78391.31360072592 -0.058700105200910145 0.15045040191470674 0.161496209822072
145 0.18 23096.04381330504 61931.71174260313 66098.14036109482 -0.09017565155533018 0.16683610320730086 0.18964686516477267
146 0.17 721.9944259566322 -78225.19883613719 78228.53065796591 0.17307575859366214 0.08974671948440464 0.19496074443585826
147 0.12 -29185.161966556214 -72665.69746011193 78307.58115520257 -0.015122717275092196 -0.1773848229407146 0.1780282898516161
148 0.22 75059.92635597696 22477.67805395641 78353.29319985217 -0.09952817620284464 -0.1088649130531193 0.14750399029289923
149 0.2 -26192.142011450447 -69727.55255779283 74484.62854071133 -0.0919287964490745 -0.021922282858327674 0.09450656116003747
150 0.28 -30399.577822246003 34065.27034432219 45657.16784254744 0.07506062740313484 -0.11446609073509206 0.1368816412610784
151 0.65 -67162.35197555234 -36673.962345012376 76522.94451320705 0.04019707996299575 -0.11063965472448822 0.11771549785438383
152 0.1 -36503.840622150004 -38477.75018448135 53038.36007482399 0.17469570558588832 -0.0476635775232268 0.18108121430028026
153 0.16 -11534.578124097234 -47123.25801651949 48514.40959748321 0.13838407578415865 -0.06637064372928958 0.153477082262063
154 0.43 13200.88665915721 25542.749610205625 28752.31236331392 -0.02964237742039896 -0.08123572861664644 0.0864749336109072
155 0.08 10409.401557854291 -57102.24050952902 58043.27275404754 0.0715355662711146 -0.178613425055239 0.19240606240888697
156 0.11 -20817.579746573458 -68254.53105758311 71358.61991655614 0.06024283095822709 -0.13450152851571617 0.14737659195043673
157 0.62 62610.750309995514 646.4824285135109 62614.08782303692 -0.18537311262699488 0.020591592086519575 0.18651328250201954
158 0.52 38681.76428610189 66147.70701586718 76627.65839918739 -0.06842441978683106 0.13133962151566583 0.14809455561580523
159 0.56 -61891.744470178506 42813.84110918524 75256.97990276005 0.07506562139259361 0.13985733196684336 0.15872907994422455
160 0.19 -11048.880652745192 -75820.14963152185 76620.96876067916 0.016178083542786388 -0.02711062121429191 0.03157081199054263
161 0.23 52505.33474096245 42506.39867232294 67554.4528832184 -0.018097038333340292 -0.18822246748296703 0.18909045470836164
162 0.36 -42064.38941120574 52363.90889279525 67166.89520195583 0.16612886655330553 0.06303062130713417 0.17768415665064052
163 0.15 40752.46188724618 15195.077167062667 43493.14336748313 -0.04496454623437239 0.047360185513726845 0.06530541776880104
164 0.04 -74266.79971842888 -24219.703380158535 78116.26957452648 0.15964389592626566 -0.049175790215608216 0.16704619675361018
165 0.3 -13154.001885642469 -15050.600951652234 19988.705676290316 0.1450224220043966 -0.08364934788578425 0.16741778963341455
166 1.8 -61352.34521773783 -26602.738865584088 66871.63807524783 0.14091223405397643 0.06816537177894517 0.15653362455346279
167 0.08 29658.06889067956 -67164.28530470126 73420.99339300446 -0.0887522897229892 -0.17335049536746014 0.1947494882540574
168 0.14 -34488.50543177689 49263.35881604712 60135.97532888538 -0.1593989716606712 -0.02356465515631376 0.1611313909178328
169 0.01 77436.73092056483 7054.700082715686 77757.41822437929 -0.16963213541282854 0.0826845423909683 0.18871087651516016
170 0.1 40314.68112020977 4605.171891734077 40576.85451062731 0.0037498627105459733 -0.19488970794046404 0.1949257800586349
171 0.71 -18157.005729719043 19682.71450147573 26778.463496168955 -0.09728058199486998 0.16583791440589152 0.192264727622506
172 0.1 -51612.223713006715 -38425.35281043473 64345.391250716915 0.16610106005602468 -0.049482322792624815 0.17331492267167484
173 0.09 -18559.690342820304 20501.86989027388 27654.81467338185 0.13260284754637056 0.030011352035757614 0.13595659759062878
174 0.09 3862.9927658801607 -57187.94857167303 57318.27086493068 0.11764730887266972 -0.10322675456574906 0.15651406372322824
175 0.23 38596.30995144865 -32352.055979285975 50361.996266581285 0.03482380282138296 -0.019794401590122843 0.04005640494669507
176 0.18 -45618.50077407683 -51882.46965220977 69085.7313060151 0.0010796735253509097 0.008155901130264622 0.008227054039447864
177 0.13 46791.37052592895 39116.529375129954 60987.99247434021 0.14672180473746793 0.09504402501149906 0.17481605954776044
178 0.45 479.2283421543197 76674.95198146233 76676.44958632004 0.13530727764229306 -0.12454184074898922 0.18389869352476426
179 0.59 -42440.98341075836 -57591.79962717607 71540.56511636642 -0.025529047630613918 -0.011704154070193295 0.028084150252855725
180 0.47 55671.34831782507 -51511.22625050938 75846.59157375347 0.16316756147180264 -0.03718324221070058 0.16735066960712802
181 0.13 32673.57578903074 46522.10244259214 56849.5256842181 0.03185391991325209 0.1316612296090664 0.1354597785175038
182 0.45 62443.11218149121 -38059.60993802518 73127.80707463421 -0.1492426530604325 -0.07220918727118372 0.16579365554472072
183 0.09 29334.02101294502 -2184.854584459846 29415.274575348354 -0.18633393637700266 0.05464541683759797 0.194181506398276
184 0.63 67602.11442166164 16934.222264950567 69690.84414755055 0.11968792137700837 -0.1293833281437481 0.17625335209607146
185 0.14 -68385.63176472958 -5629.3764292139795 68616.94040718356 0.028279106331645557 -0.12290930362053129 0.12612059614274135
186 0.49 -44861.21554800576 19126.26268577058 48768.253862217935 0.0797962830536957 0.11708513646968939 0.14169112876715786
187 0.27 39354.34081132689 -62305.561549661776 73693.60311935333 0.10841489419199601 -0.07057283083880779 0.12936117553294213
188 4.85 19209.819237679298 -42965.05159538671 47063.92263441877 -0.02856240325338896 0.157938199563793 0.160500111405138
189 0.18 73378.82307923755 23637.073742071294 77091.91223197257 0.17947483371607356 0.07530969602552427 0.19463495640010076
190 0.91 11348.970773003473 -31858.782205764423 33819.83354839019 0.1359841061672003 -0.060931074073026004 0.14901098254083484
191 0.52 482.56572286547083 -15004.306414578452 15012.064503573278 0.013782181906624029 -0.16119760039770856 0.1617857067607847
192 2.5 13317.226032845878 -26389.29182869282 29559.14803288183 -0.18818921115374723 -0.0474401128742463 0.19407664337624683
193 0.58 -70545.62250433218 5523.859953493165 70761.55653537833 0.17421214438501947 0.026242372259923447 0.1761775620022461
194 0.43 22220.77702772146 7301.648208537018 23389.677173423013 0.051926267992842244 -0.01619343665828007 0.054392689752118355
195 0.12 56848.53258722987 -44244.94640890889 72037.28853898206 0.12792594471172147 -0.12730450474151866 0.18047571653236277
196 3.58 -8906.871901291826 -76681.73091758013 77197.2811929422 -0.13941119742717525 0.117848568514149 0.1825479856610664
197 0.6 1754.3407128191589 60818.92424383224 60844.2212335211 0.17912942769566373 -0.0759714147090336 0.19457391325526652
198 0.62 26271.15968028226 55511.53551441597 61414.20361866751 -0.17207907342638604 -0.08350483715696026 0.19127013708337745
199 2.67 -23675.193900585276 -49217.39919418958 54615.63136749884 0.17610522136113063 0.06417099220279253 0.18743256182142867
200 0.02 -9045.200760837335 -8118.1169913006825 12153.990303118444 -0.18388876761950826 -0.06067865078011929 0.1936413631358682
201 0.09 -71308.39027427162 8840.31723000999 71854.2812380379 0.0032173859189510274 -0.007295121623924108 0.007973103013213204
202 0.24 -76413.43270479655 -17135.22307160771 78311.10117629702 0.11922913531393435 0.007842173540009342 0.11948676241969272
203 0.17 -53507.99687829984 -1303.53760279863 53523.872619701724 -0.1461639314673305 0.10167567609783874 0.17805009961226956
204 0.64 33135.863270628644 65764.2920527437 73640.5292205886 0.1293266773419316 -0.07190212352396173 0.14797062154211263
205 0.24 -60050.744422524374 43218.22414330589 73985.85543061842 -0.1943885406253724 0.0061489010402196575 0.1944857673724853
206 0.09 -34940.58020420058 23146.78772941252 41912.02604499877 0.08419946626834578 0.09591533387614612 0.12762954748978342
207 0.12 -67873.30782035518 12832.288239671885 69075.70872559115 0.07427646520567249 -0.13751146788757818 0.15628946568481805
208 0.51 -22761.69418239217 52474.529694327735 57198.52260936142 0.015741834820015916 -0.062987511404975 0.06492481772398379
209 0.19 -49628.10702680677 -58298.67918707341 76561.64184512694 -0.18213313969461553 -0.0674536925317381 0.19422276182565368
210 0.56 71456.03699468051 3811.916139365475 71557.64059580714 0.11566421941916868 0.05356669630637602 0.12746608414407776
211 0.18 -44519.1286101819 54748.22241378709 70564.30166649008 -0.02780621146545329 -0.1753033842087046 0.1774949630583533
212 0.54 16594.863382111824 -19367.314705776782 25504.555859366643 0.1916513077501296 -0.013947260639574544 0.19215813758902617
213 0.09 12140.587080423378 -75038.0228595908 76013.80617581133 -0.04321583469744954 0.10583923584889739 0.11432214227207173
214 1.08 -75180.8103980833 13995.790984098749 76472.4552854368 -0.015546127661306045 0.18651769206535693 0.18716445052052202
215 0.14 610.3898033321567 41851.03885033689 41855.489825880904 -0.13585500300975303 0.13965959071311848 0.19483681151398413
216 0.24 -9557.198499407807 1218.167368311466 9634.519961798913 -0.07322797604292827 -0.11220892148865025 0.1339894717393488
217 0.61 -1165.359474988859 71459.94799111318 71469.44962428734 0.042962869222382294 0.18364614431647416 0.18860465119961062
218 0.05 6114.698844843043 -35668.125154459965 36188.46078513625 0.04943726709562632 -0.1010248492590901 0.11247250128678643
219 0.59 8885.081255400808 -72466.29052080128 73008.95788025089 0.11150614430313406 -0.0422023081338354 0.11922522815735999
220 0.18 -63392.65030975339 41888.01034087467 75981.79731759377 0.08141970481338051 0.0880030735686514 0.11989040532681292
221 0.61 -70261.52111004744 28639.237165937866 75874.15405883928 0.1675702499744613 -0.09401781866586627 0.1921435372402391
222 0.19 -74971.6478870094 -22544.42625177012 78287.92462388579 0.11710386134914116 0.11093305659558525 0.16130547848265478
223 1.2 -78373.2396580026 1981.3286263638083 78398.2803230808 0.07291558986553548 0.0649507810205672 0.09764879518263732
224 0.48 -50985.32977935793 9417.59086335527 51847.80487522529 -0.18648679181422467 0.040846768413149034 0.1909077840502042
225 0.09 -4733.944925218425 -77127.13744652357 77272.28199846268 0.09627329913527632 0.07311941014026604 0.12089249879810922
226 0.12 -47224.308532758914 -11698.251710881883 48651.66399506143 -0.12528899414634204 -0.1494166008315212 0.19499398108210486
227 0.53 8236.174571818976 75240.26797297632 75689.71195758882 -0.09983085362607463 -0.1674548365507438 0.19495466555060195
228 0.49 36632.456890048554 -14138.261934870428 39266.10941181048 0.048017458351862385 -0.150743070931512 0.15820603572694594
229 0.33 -43307.002495460656 -58275.764014536304 72605.51726019008 0.1861655475444881 0.0576734081585906 0.19489441526417953
230 0.41 -34480.201651684685 33257.02635382908 47905.26179701058 -0.009444855723149116 0.13487722372249886 0.13520751006774775
231 0.56 70748.83124701415 -11919.567320681272 71745.89331753239 0.09053160372605251 0.17235275119679078 0.19468292713618693
232 0.63 20322.06845597423 75463.86778001973 78152.29879312318 0.06288790435625921 0.01583100252444749 0.06484989711056656
233 0.37 -46556.25325962608 62670.04751578857 78070.60633302166 0.006046978224245651 -0.19239486265459446 0.1924898675814516
234 0.59 -57356.90868623567 10521.256614253618 58313.90755886758 -0.1853715471773485 0.04259387193498963 0.19020212519669238
235 1.94 -13852.397730439036 -8972.907776527285 16504.6053224043 0.050090411834655096 0.1150816539784975 0.12551030411959005
